epoch,epoch_time,lr-SparseLamb/pg1,lr-SparseLamb/pg2,step,train_loss,val_loss,val_r2
0,,,,136,2.5305047035217285,,
,,0.002,0.002,137,,,
0,,,,137,2.669248104095459,,
,,0.002,0.002,138,,,
0,,,,138,9.405277252197266,,
,,0.002,0.002,139,,,
0,,,,139,2.6165177822113037,,
,,0.002,0.002,140,,,
0,,,,140,2.930185556411743,,
,,0.002,0.002,141,,,
0,,,,141,2.4448657035827637,,
,,0.002,0.002,142,,,
0,,,,142,2.873512029647827,,
,,0.002,0.002,143,,,
0,,,,143,4.931825160980225,,
,,0.002,0.002,144,,,
0,,,,144,3.4016294479370117,,
,,0.002,0.002,145,,,
0,,,,145,2.9282188415527344,,
,,0.002,0.002,146,,,
0,,,,146,4.382294178009033,,
,,0.002,0.002,147,,,
0,,,,147,2.9255716800689697,,
,,0.002,0.002,148,,,
0,,,,148,3.3741252422332764,,
,,0.002,0.002,149,,,
0,,,,149,4.324445724487305,,
,,0.002,0.002,150,,,
0,,,,150,2.983035087585449,,
,,0.002,0.002,151,,,
0,,,,151,3.8739876747131348,,
,,0.002,0.002,152,,,
0,,,,152,6.085103988647461,,
,,0.002,0.002,153,,,
0,,,,153,7.656992435455322,,
,,0.002,0.002,154,,,
0,,,,154,3.9864025115966797,,
,,0.002,0.002,155,,,
0,,,,155,3.9825406074523926,,
,,0.002,0.002,156,,,
0,,,,156,2.2412121295928955,,
,,0.002,0.002,157,,,
0,,,,157,3.537680149078369,,
,,0.002,0.002,158,,,
0,,,,158,3.6400835514068604,,
,,0.002,0.002,159,,,
0,,,,159,2.884519338607788,,
,,0.002,0.002,160,,,
0,,,,160,3.2725634574890137,,
,,0.002,0.002,161,,,
0,,,,161,3.9255990982055664,,
,,0.002,0.002,162,,,
0,,,,162,4.468763828277588,,
,,0.002,0.002,163,,,
0,,,,163,5.493682384490967,,
,,0.002,0.002,164,,,
0,,,,164,2.88409686088562,,
,,0.002,0.002,165,,,
0,,,,165,2.6571507453918457,,
,,0.002,0.002,166,,,
0,,,,166,3.5201218128204346,,
,,0.002,0.002,167,,,
0,,,,167,3.5517961978912354,,
,,0.002,0.002,168,,,
0,,,,168,2.80159854888916,,
,,0.002,0.002,169,,,
0,,,,169,3.33198618888855,,
,,0.002,0.002,170,,,
0,,,,170,3.8308463096618652,,
,,0.002,0.002,171,,,
0,,,,171,2.7786056995391846,,
,,0.002,0.002,172,,,
0,,,,172,3.093104362487793,,
,,0.002,0.002,173,,,
0,,,,173,2.568110704421997,,
,,0.002,0.002,174,,,
0,,,,174,4.464825630187988,,
,,0.002,0.002,175,,,
0,,,,175,2.748725175857544,,
,,0.002,0.002,176,,,
0,,,,176,3.4023303985595703,,
,,0.002,0.002,177,,,
0,,,,177,3.1882717609405518,,
,,0.002,0.002,178,,,
0,,,,178,4.197954177856445,,
,,0.002,0.002,179,,,
0,,,,179,3.0555660724639893,,
,,0.002,0.002,180,,,
0,,,,180,3.1491777896881104,,
,,0.002,0.002,181,,,
0,,,,181,2.4638772010803223,,
,,0.002,0.002,182,,,
0,,,,182,3.0183167457580566,,
